Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Ichiban Chikakute Tooi Hoshi,6.00,8548,12280,"Music, Drama",1,"Feb 18, 2021",?,"None found, add some",Flat Studio
Chang Jian Feng Yun,N/A,14523,12380,"Action, Drama",10,"Jan 22, 2021","Mar 19, 2021",bilibili,Xuni Yinxiang Gongzuo Shi
Urvan,5.99,8593,12403,"Sci-Fi, Mystery",1,"Feb 12, 2021",?,"None found, add some",Toei Animation
Wan Jie Qi Yuan,6.64,5355,12669,"Martial Arts, Fantasy",40,"Feb 17, 2021","Apr 16, 2021",iQIYI,Ruo Hong Culture
Liu Xing Huan Jian,N/A,16305,12739,"Action, Fantasy",60,"Jan 28, 2021","Aug 12, 2021",Tencent Penguin Pictures,Soyep
Wo Shi Da Shenxian 2nd Season,6.77,4699,12781,"Action, Martial Arts, Fantasy, Shounen",16,"Feb 25, 2021","Jun 10, 2021",Tencent Animation & Comics,CG Year
Sayonara Watashi no Cramer Mini Anime,N/A,12698,12869,Comedy,24,"Mar 16, 2021","Jun 22, 2021","None found, add some","None found, add some"
Wan Jie Shen Zhu 3rd Season,N/A,13664,12990,"Adventure, Fantasy",48,"Mar 17, 2021",?,"None found, add some","None found, add some"
Ichiban Kuji Natsume Yuujinchou: Nyanko-sensei to Hana Shirabe,6.48,6165,13094,Slice of Life,1,"Mar 12, 2021",?,Bandai Spirits,"None found, add some"
Blue Archive,N/A,14409,13153,"Game, Fantasy",1,"Jan 25, 2021",?,"None found, add some",Yostar Pictures
With All Our Hearts,6.55,5789,13362,Fantasy,1,"Jan 6, 2021",?,"None found, add some","None found, add some"
Jue Ding,N/A,15701,13492,"Comedy, Historical",26,"Feb 6, 2021","Jul 24, 2021",Tencent Penguin Pictures,Seven Stone Entertainment
Zhen Dao Ge,N/A,14051,13562,"Action, Adventure, Martial Arts",12,"Feb 5, 2021","Apr 16, 2021","None found, add some","None found, add some"
Shouxi Yu Ling Shi 2,N/A,12931,13727,"Action, Fantasy",60,"Mar 3, 2021","Sep 15, 2021","None found, add some",Soyep
Fei Ren Zai 4th Season,N/A,14918,13970,"Slice of Life, Comedy, Supernatural",12,"Feb 3, 2021","Apr 14, 2021","None found, add some","Tencent Penguin Pictures, Fenz"
Hachimitsu Suicide Machine,N/A,15180,14209,Horror,1,"Mar 26, 2021",?,"None found, add some",Usagi Ou
Shichigahama de Mitsuketa,N/A,12795,14353,"Slice of Life, Drama",1,"Mar 10, 2021",?,"None found, add some",Jichitai Anime
Ichi Nichi Shite Narazu,N/A,15532,14471,Slice of Life,1,"Feb 8, 2021",?,Studio Mausu,GEEK TOYS
"Tokimeki ha, Sugu Soba ni.",N/A,13420,15381,"Slice of Life, Romance",Unknown,"Jan 24, 2021",?,"None found, add some",The Answer Studio
Id:Indeed,N/A,15543,15473,Comedy,12,"Jan 8, 2021","Mar 26, 2021","None found, add some",NAZ
Oshiete Hokusai! The Animation,N/A,12263,15506,"Slice of Life, Comedy, Fantasy",10,"Mar 7, 2021","Mar 14, 2021",Sound Team Don Juan,CoMix Wave Films
Amemiya-san,N/A,14208,16012,Comedy,Unknown,"Mar 9, 2021",?,"None found, add some","None found, add some"
Deliver Police: Nishitokyo-shi Deliver Keisatsutai,N/A,14756,16083,Action,1,"Mar 26, 2021",?,"None found, add some",IMAGICA Lab.
Ryuusatsu no Kyoukotsu,N/A,12623,16977,Fantasy,1,"Mar 26, 2021",?,"None found, add some",Tsumugi Akita Animation Lab
Powerful Pro Yakyuu: Powerful Koukou-hen,N/A,12474,17048,Sports,4,"Mar 20, 2021","Apr 4, 2021",Konami Digital Entertainment,CloverWorks
23-ji no Saga Meshi Anime,N/A,14130,17464,,10,"Feb 15, 2021","Feb 24, 2021","None found, add some",Studio Kai
Yuusei Koukou Tenmon-bu,N/A,14011,17595,"Comedy, School, Slice of Life",20,"Mar 11, 2021",?,"None found, add some",AQUA ARIS
Dushi Miao Qitan,N/A,14849,17816,"Supernatural, Magic",20,"Jan 30, 2021","Jun 5, 2021","None found, add some","None found, add some"
Ikinuke! Bakusou! Kusohamu-chan!,N/A,15559,17819,"Slice of Life, Comedy",Unknown,"Mar 17, 2021",?,Shogakukan,"None found, add some"
Shouji Li de Huanxiong Xiao Zhen,N/A,12910,17934,"Slice of Life, Comedy",26,"Jan 21, 2021","Jul 8, 2021",bilibili,TthunDer Animation
Bessatsu Kamen Rider Saber: Tanpen Katsudou Manga Shuu,N/A,14385,17946,Comedy,Unknown,"Feb 1, 2021",?,"None found, add some","None found, add some"
Ikinuke! Bakusou! Kusohamu-chan! Episode 0,N/A,15560,17973,"Slice of Life, Comedy",1,"Mar 17, 2021",?,Shogakukan,"None found, add some"
Alice in Deadly School,5.28,10750,4219,"Comedy, School, Shounen",1,"Jan 4, 2021","Mar 3, 2021","None found, add some",Hoods Entertainment
6 Lovers,5.57,?,4429,"Slice of Life, Comedy, Supernatural, Drama, Romance, School, Yaoi, Shounen Ai",6,"Feb 27, 2021",?,Shinshokan,Soft Garage
Saezuru Tori wa Habatakanai: Don't Stay Gold,7.33,2229,5206,"Drama, Shounen Ai",1,"Mar 1, 2021",?,"None found, add some",GRIZZLY
Ijirare: Fukushuu Saimin,7.35,?,5378,"Hentai, School",4,"Feb 5, 2021","Mar 5, 2021","None found, add some",T-Rex
Planetarian: Snow Globe,7.21,2789,5581,"Sci-Fi, Drama",1,"Jan 20, 2021",?,Visual Arts,Okuruto Noboru
Kimi ga Suki. The Animation,6.74,?,6305,Hentai,2,"Jan 29, 2021","Mar 26, 2021",Pink Pineapple,Seven
Ajisai no Chiru Koro ni OVA,6.29,?,7213,Hentai,1,"Jan 29, 2021",?,"None found, add some",T-Rex
Himawari wa Yoru ni Saku,6.52,?,7389,Hentai,1,"Jan 5, 2021",?,"None found, add some",T-Rex
Bean Bandit,N/A,14369,7808,"Action, Comedy, Police, Seinen",1,"Jan 19, 2021",?,"None found, add some","None found, add some"
Real Eroge Situation! 2 The Animation,6.90,?,7912,Hentai,Unknown,"Feb 26, 2021",?,Pink Pineapple,Studio 1st
Haitoku no Kyoukai,6.39,?,8348,Hentai,Unknown,"Jan 29, 2021",?,"None found, add some",Nur
Rikujoubu Joshi wa Ore no Nama Onaho!!! The Animation,6.22,?,8395,Hentai,2,"Feb 26, 2021","Apr 30, 2021","None found, add some","None found, add some"
Toilet no Hanako-san vs Kukkyou Taimashi,6.27,?,8628,Hentai,Unknown,"Feb 26, 2021",?,Suzuki Mirano,"None found, add some"
"Tooi Kimi ni, Boku wa Todokanai",5.45,?,9281,Hentai,2,"Mar 26, 2021","May 28, 2021",Mediabank,Queen Bee
Initial D Battle Stage 3,6.85,4357,9670,"Action, Cars, Sports",1,"Mar 5, 2021",?,"None found, add some","None found, add some"
Himote House: Dai Panic! Minna de Gokiburi Taiji,N/A,15391,10593,Comedy,1,Jan 2021,?,"None found, add some",Bouncy
Tasuuketsu: Judgement Assizes,N/A,13295,15194,"Action, Super Power, Psychological, Drama",1,"Jan 29, 2021",?,"None found, add some",IMAGICA Lab.
Evangelion: 3.0+1.0 Thrice Upon a Time,8.75,36,788,"Action, Sci-Fi, Psychological, Drama, Mecha",1,"Mar 8, 2021",?,KlockWorx,Khara
Gintama: The Final,9.17,1,2194,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen",1,"Jan 8, 2021",?,"TV Tokyo, Warner Bros. Japan",Bandai Namco Pictures
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.07,459,3786,"Slice of Life, Demons, Supernatural, Drama, Shoujo",1,"Jan 16, 2021",?,"None found, add some",Shuka
Seitokai Yakuindomo Movie 2,7.76,923,3880,"Slice of Life, Comedy, School, Shounen",1,"Jan 1, 2021",?,"Glovision, King Records",GoHands
Bishoujo Senshi Sailor Moon Eternal Movie 1,7.45,1777,4166,"Demons, Magic, Romance, Shoujo",1,"Jan 8, 2021",?,"None found, add some","Toei Animation, Studio Deen"
Bishoujo Senshi Sailor Moon Eternal Movie 2,7.68,1090,4630,"Demons, Magic, Romance, Shoujo",1,"Feb 11, 2021",?,"None found, add some","Toei Animation, Studio Deen"
Girls & Panzer: Saishuushou Part 3,7.10,3305,4964,"Military, School",1,"Mar 26, 2021",?,"None found, add some",Actas
Aria the Crepuscolo,7.61,1263,6154,"Sci-Fi, Slice of Life, Fantasy, Shounen",1,"Mar 5, 2021",?,Shochiku,J.C.Staff
Detective Conan: The Scarlet Alibi,7.14,3121,7297,"Action, Mystery, Comedy, Police, Drama, Shounen",1,"Feb 11, 2021",?,"None found, add some",TMS Entertainment
Tokyo 7th Sisters: Bokura wa Aozora ni Naru,N/A,13427,9133,"Music, Slice of Life, Comedy, School",1,"Feb 26, 2021",?,Toei Animation,LandQ studios
Santa Company: Manatsu no Merry Christmas,5.47,10288,9437,Fantasy,1,"Jan 28, 2021",?,"None found, add some",ORENDA
Xin Shen Bang: Nezha Chonsheng,7.39,1989,9498,"Action, Fantasy, Sci-Fi",1,"Feb 12, 2021",?,bilibili,Light Chaser Animation Studios
Healin' Good♡Precure Movie: Yume no Machi de Kyun! Tto GoGo! Dai Henshin!!,7.06,3470,10120,"Action, Magic, Fantasy, Shoujo",1,"Mar 20, 2021",?,"None found, add some",Toei Animation
Tropical-Rouge! Precure Petit Tobikome! Collaboration ♡ Dance Party!,6.43,6439,12033,"Magic, Fantasy",1,"Mar 20, 2021",?,"None found, add some",Toei Animation
Xuyuan Shenlong,7.29,2425,13661,"Comedy, Kids, Fantasy",1,"Jan 15, 2021",?,"None found, add some","None found, add some"
Shimajirou to Sora Tobu Fune,N/A,12817,16691,Kids,1,"Mar 12, 2021",?,"None found, add some","None found, add some"
Lie Yang Tiandao II,N/A,16283,16766,"Action, Sci-Fi, Adventure, Fantasy",1,"Feb 12, 2021",?,Tencent Penguin Pictures,Transcendence Picture
Bai She Chuan Zhi Bai Suzhen,N/A,14331,17522,"Action, Romance, Fantasy",1,"Feb 12, 2021",?,"None found, add some","None found, add some"
Xiong Chumo: Kuang Ye Dalu,N/A,13843,18108,"Sci-Fi, Comedy, Kids",1,"Feb 12, 2021",?,"None found, add some","None found, add some"
Haidi Xiao Zongdui: Huoyan Zhi Huan,N/A,15190,18124,"Adventure, Kids",1,"Jan 8, 2021",?,"None found, add some","None found, add some"
Mofa Shu Leyuan,N/A,16595,18180,"Comedy, Kids",1,"Jan 23, 2021",?,"None found, add some","None found, add some"
Gintama: The Semi-Final,8.51,103,2863,"Action, Comedy, Historical, Parody, Samurai, Shounen",2,"Jan 15, 2021","Jan 20, 2021","None found, add some",Bandai Namco Pictures
Yakusoku no Neverland 2nd Season: Michishirube,4.62,11561,2867,"Mystery, Psychological, Supernatural, Thriller, Shounen",1,"Feb 12, 2021",?,"None found, add some",CloverWorks
Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi,6.62,5453,3010,"Action, Adventure, Comedy, Demons, Magic, Fantasy",1,"Jan 5, 2021",?,"None found, add some",8bit
SK∞: Crazy Rock Jam,6.67,5169,3515,"Comedy, Sports",1,"Mar 14, 2021",?,"Aniplex, Movic, ABC Animation",Bones
Dogeza de Tanondemita: Isekai-hen,5.65,9757,2504,"Comedy, Ecchi, Fantasy",12,"Oct 14, 2020","Dec 30, 2020","DAX Production, DMM pictures, DMM Music","None found, add some"
Nu Wushen de Canzhuo Spring Festival Special,7.04,3591,10463,"Slice of Life, Comedy",1,"Feb 11, 2021",?,"None found, add some","None found, add some"
e-ma Nodo Ame CMs,N/A,14852,15869,Music,3,"Feb 12, 2021",?,"None found, add some","None found, add some"
Twisted Wonderland 1st Anniversary PV,N/A,13540,16035,"Music, Demons",1,"Mar 17, 2021",?,Aniplex,"None found, add some"
Sazae-san: Valentine-hen,N/A,12703,18355,"Comedy, Slice of Life",1,"Feb 14, 2021",?,"None found, add some","None found, add some"
Haikyuu!!: To the Top 2nd Season,8.54,92,296,"Comedy, Sports, Drama, School, Shounen",12,"Oct 3, 2020","Dec 19, 2020","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G
Akudama Drive,7.66,1137,580,"Action, Sci-Fi",12,"Oct 8, 2020","Dec 24, 2020","Marvelous, Yomiuri Advertising, Delfi Sound, NBCUniversal Entertainment Japan, Amuse, Sammy, Contents Seed, BS NTV, Aeon Entertainment",Studio Pierrot
Majo no Tabitabi,7.55,1465,634,"Adventure, Magic, Fantasy",12,"Oct 2, 2020","Dec 18, 2020","Lantis, Movic, AT-X, Kadokawa Media House, Kadokawa, SB Creative",C2C
Mahouka Koukou no Rettousei: Raihousha-hen,7.28,2476,678,"Action, Sci-Fi, Supernatural, Magic, Romance, School",13,"Oct 4, 2020","Dec 27, 2020","Aniplex, Square Enix, Movic, Studio Mausu, Straight Edge, Kadokawa",8bit
Munou na Nana,7.24,2674,785,"Psychological, Shounen, Super Power, Supernatural, Thriller",13,"Oct 4, 2020","Dec 27, 2020","Square Enix, AT-X, Nippon Columbia, BS Fuji, Hakuhodo DY Music & Pictures, Docomo Anime Store, Yomiuri TV Enterprise, Kanon Sound, NichiNare, Kadokawa, Show Corporation",Bridge
Noblesse,6.84,4396,843,"Action, School, Supernatural, Vampire",13,"Oct 8, 2020","Dec 31, 2020","Glovision, Crunchyroll SC Anime Fund, Naver Webtoons",Production I.G
Kamisama ni Natta Hi,6.81,4538,868,"Drama, Fantasy",12,"Oct 11, 2020","Dec 27, 2020","Aniplex, Movic, Visual Arts, Tokyo MX, Nagoya Broadcasting Network, ABC Animation",P.A. Works
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.57,5703,916,"Action, Military, Romance, Fantasy",12,"Oct 7, 2020","Dec 23, 2020","Pony Canyon, Bit grooove promotion, A3",SILVER LINK.
Maoujou de Oyasumi,8.01,547,1230,"Comedy, Demons, Magic, Fantasy, Shounen",12,"Oct 6, 2020","Dec 22, 2020",Lantis,Doga Kobo
Adachi to Shimamura,7.13,3179,1255,"Slice of Life, Romance, School, Shoujo Ai",12,"Oct 9, 2020","Dec 25, 2020","Pony Canyon, Kadokawa",Tezuka Productions
Kami-tachi ni Hirowareta Otoko,6.91,4097,1386,"Adventure, Slice of Life, Magic, Fantasy",12,"Oct 4, 2020","Dec 20, 2020","Lantis, Toei Video, KlockWorx, Nikkatsu, Asmik Ace, Hobby Japan, AMG MUSIC, BS Fuji, Hakuhodo DY Music & Pictures, Amusement Media Academy, Exa International, Bandai Namco Arts",Maho Film
Golden Kamuy 3rd Season,8.45,129,1535,"Action, Adventure, Historical, Seinen",12,"Oct 5, 2020","Dec 21, 2020","Magic Capsule, NBCUniversal Entertainment Japan, Twin Engine",Geno Studio
Kuma Kuma Kuma Bear,7.18,2937,1649,"Adventure, Comedy, Fantasy",12,"Oct 7, 2020","Dec 23, 2020",Nippon Columbia,EMT Squared
Ikebukuro West Gate Park,6.85,4356,1771,"Drama, Mystery",12,"Oct 6, 2020","Dec 22, 2020","None found, add some",Doga Kobo
Iwa Kakeru!: Sport Climbing Girls,6.47,6243,1959,"Comedy, Sports, School",12,"Oct 4, 2020","Dec 20, 2020","Lantis, AT-X, Magic Capsule, KlockWorx, Nagoya Broadcasting Network, ABC Animation, Cygames, Bandai Namco Arts, Happinet, NetEase, Heart Company",Blade
Assault Lily: Bouquet,6.46,6261,2120,"Action, Magic, Fantasy",12,"Oct 2, 2020","Dec 25, 2020","None found, add some",Shaft
Love Live! Nijigasaki Gakuen School Idol Doukoukai,7.57,1402,2444,"Music, Slice of Life, School",13,"Oct 3, 2020","Dec 26, 2020","Bushiroad, Kadokawa, Bandai Namco Arts",Sunrise
Taisou Zamurai,7.25,2619,2582,Sports,11,"Oct 11, 2020","Dec 20, 2020","None found, add some",MAPPA
Hypnosis Mic: Division Rap Battle - Rhyme Anima,6.78,4651,2620,"Action, Sci-Fi, Music",13,"Oct 3, 2020","Dec 26, 2020","Aniplex, Half H.P Studio, Evil Line Records",A-1 Pictures
Gochuumon wa Usagi Desu ka? Bloom,7.95,617,2622,"Slice of Life, Comedy",12,"Oct 10, 2020","Dec 26, 2020","None found, add some",Encourage Films
Senyoku no Sigrdrifa,6.44,6403,2892,"Action, Military",12,"Oct 3, 2020","Dec 26, 2020","Aniplex, Good Smile Company, Contents Seed, Sonilude",A-1 Pictures
Magatsu Wahrheit: Zuerst,6.57,5708,3239,"Action, Magic, Fantasy",12,"Oct 13, 2020","Dec 29, 2020","WOWOW, NBCUniversal Entertainment Japan, Tokyo MX, Q-Tec, Chugai Mining, BS11, KLab, Marui Group, Bit grooove promotion",Yokohama Animation Lab
Ochikobore Fruit Tart,6.77,4686,3267,"Music, Slice of Life",12,"Oct 12, 2020","Dec 28, 2020","Studio Mausu, Kadokawa",feel.
One Room Third Season,6.44,6391,3617,Slice of Life,12,"Oct 6, 2020","Dec 22, 2020","None found, add some",Zero-G
Rail Romanesque,5.07,11148,3703,Slice of Life,12,"Oct 3, 2020","Dec 19, 2020","None found, add some",Saetta
Strike Witches: Road to Berlin,7.32,2302,4003,"Action, Military, Sci-Fi, Magic, Ecchi",12,"Oct 8, 2020","Dec 24, 2020","Magic Capsule, Nippon Columbia, Docomo Anime Store, Sammy, Kadokawa Media House, DeNA, Kadokawa",David Production
D4DJ: First Mix,7.65,1170,4170,Music,13,"Oct 23, 2020","Jan 29, 2021",Bushiroad,SANZIGEN
A3! Season Autumn & Winter,7.31,2329,4347,"Slice of Life, Drama",12,"Oct 13, 2020","Dec 29, 2020","Pony Canyon, Infinite","P.A. Works, Studio 3Hz"
Otona nya Koi no Shikata ga Wakaranee!,5.76,9410,4768,"Romance, Ecchi",8,"Oct 5, 2020","Nov 23, 2020","Studio Mausu, Suiseisha",Ether Kitten
Guraburu!,5.70,9604,5004,"Adventure, Fantasy",12,"Oct 8, 2020","Dec 24, 2020",dugout,"W-Toon Studio, DMM.futureworks"
Maesetsu!,5.76,9404,5308,"Slice of Life, Comedy",12,"Oct 11, 2020","Dec 27, 2020","None found, add some","Studio Gokumi, AXsiZ"
Tsukiuta. The Animation 2,6.59,5581,6409,Music,13,"Oct 7, 2020","Dec 30, 2020","None found, add some",Children's Playground Entertainment
Eternity: Shinya no Nurekoi Channel ♡,5.74,9466,6429,"Ecchi, Romance",12,"Oct 5, 2020","Dec 21, 2020",Kanade Creative,Seven
Sore dake ga Neck,5.65,9742,6687,Mystery,12,"Oct 13, 2020","Jan 5, 2021","None found, add some",Toho Interactive Animation
Himitsukessha Taka no Tsume: Golden Spell,6.17,7777,11354,"Comedy, Parody, Super Power",12,"Oct 5, 2020","Dec 21, 2020","None found, add some",DLE
Gebäude Bäude,6.23,7471,11546,"Sci-Fi, Comedy",10,"Nov 8, 2020","Dec 10, 2020","None found, add some",Jinnis Animation Studios
Kaeru no Pickles: Kimochi no Iro,5.57,10017,11720,"Slice of Life, Kids",12,"Oct 4, 2020","Dec 27, 2020","None found, add some","None found, add some"
Enen no Shouboutai: Ni no Shou,7.75,940,321,"Action, Supernatural, Shounen",24,"Jul 4, 2020","Dec 12, 2020","Mainichi Broadcasting System, DMM pictures",David Production
Great Pretender,8.31,223,373,"Action, Adventure, Mystery, Comedy, Psychological",23,"Jul 9, 2020","Dec 17, 2020","Production I.G, Fuji TV, BS Fuji, TOHO animation, Hakuhodo DY Media Partners",Wit Studio
Gal to Kyouryuu,6.46,6274,3544,"Slice of Life, Comedy, Seinen",12,"Apr 5, 2020","Dec 20, 2020","None found, add some","Kamikaze Douga, Space Neko Company"
IDOLiSH7: Second Beat!,8.15,371,3938,"Music, Drama",15,"Apr 5, 2020","Dec 27, 2020","Bandai Visual, Lantis, Bandai Namco Games",TROYCA
Major 2nd (TV) 2nd Season,7.53,1533,4318,"Comedy, Sports, Drama, Shounen",25,"Apr 4, 2020","Nov 7, 2020",NHK,OLM
Bessatsu Olympia Kyklos,7.00,3739,4494,"Slice of Life, Comedy, Historical, Sports, Seinen",24,"Apr 20, 2020","Nov 2, 2020",Fuji TV,Gosay Studio
Cardfight!! Vanguard Gaiden: If,6.37,6752,8710,"Action, Game, Adventure, Comedy, Parody, Demons",25,"May 30, 2020","Nov 28, 2020","None found, add some",OLM
Marumaru Manul,N/A,16433,12701,Comedy,50,"Jan 6, 2020","Dec 15, 2020","None found, add some",Kachidoki Studio
Zo Zo Zo Zombie-kun (TV),N/A,14095,14388,"Comedy, Kids",102,"Apr 16, 2020","Dec 24, 2020",Shogakukan-Shueisha Productions,J.C.Staff
Taeko no Nichijou 2nd Season,N/A,13216,14905,Slice of Life,132,"Jul 1, 2020","Dec 31, 2020","None found, add some",DLE
Washimo 8th Season,N/A,13697,17593,"Sci-Fi, Slice of Life, Comedy, Kids, School",40,"Mar 30, 2020","Dec 15, 2020","None found, add some","None found, add some"
Vlad Love,5.97,8661,3357,"Comedy, Supernatural, Vampire, School",12,"Dec 18, 2020","Mar 14, 2021","Ichigo Animation, Comic Animation","Production I.G, Drive"
Puparia,7.60,1304,3827,Dementia,1,"Nov 20, 2020",?,"None found, add some","None found, add some"
Yingxiong Zai Lin,7.00,3768,4624,"Action, Sci-Fi",12,"Oct 18, 2020","Dec 27, 2020","None found, add some","Green Monster Team, BigFireBird Animation"
Sekikashita Kusanagi,7.31,2318,5327,"Comedy, Sci-Fi",1,"Oct 4, 2020",?,"None found, add some","None found, add some"
Bear Bear Bear Kuma!,7.18,2937,1649,"Adventure, Comedy, Fantasy",12,"Oct 7, 2020","Dec 23, 2020",Nippon Columbia,EMT Squared
Wan Sheng Jie 2,8.02,530,6927,"Slice of Life, Comedy, Supernatural",12,"Oct 14, 2020","Dec 16, 2020",Tencent Penguin Pictures,"None found, add some"
Toutotsu ni Egypt Shin,6.52,5973,7080,"Comedy, Fantasy, Slice of Life",10,"Dec 7, 2020","Feb 8, 2021","None found, add some",Typhoon Graphics
Gekidan Nanatsu no Taizai,5.65,9760,7151,"Comedy, Supernatural, Fantasy",13,"Dec 24, 2020","Jan 5, 2021","None found, add some","None found, add some"
Xie Wang Zhui Qi: Yishi Qingcheng,7.37,2067,7397,"Action, Comedy, Drama, Romance, Martial Arts, Fantasy",12,"Dec 4, 2020","Feb 19, 2021",iQIYI,"None found, add some"
Hakumei no Tsubasa: Expansion - Hoshi no Matsuri,7.02,3669,7525,"Kids, Fantasy",1,"Nov 5, 2020",?,FILMONY,Studio Colorido
Ookami to Koushinryou VR 2,6.59,5565,7990,"Adventure, Historical, Fantasy",9,"Dec 9, 2020",?,"None found, add some","None found, add some"
Douluo Dalu: Hanhai Qian Kun,8.27,251,8468,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy",13,"Nov 21, 2020","Feb 13, 2021","None found, add some",Sparkly Key Animation Studio
He Wei Dao x Hui Yeda Xiaojie Xiangyao Wo Gaobai,6.86,4291,8490,"Comedy, Romance, School",2,"Oct 18, 2020","Oct 29, 2020","None found, add some","None found, add some"
Munou na Nana Mini Anime,5.77,9344,8702,"Comedy, Supernatural, Shounen",12,"Oct 9, 2020","Dec 25, 2020","Square Enix, Kanon Sound",Bridge
Toromitsu Musume no Hitou Service: Torottoro Churu Churu Gohoushi Sasete Kudasai,6.72,?,9071,Hentai,Unknown,"Oct 30, 2020",?,"None found, add some",BOMB! CUTE! BOMB!
"Ayanami Rei, Hajimete no Kuchibeni",5.71,9570,9312,Music,1,"Nov 3, 2020",?,"None found, add some",Khara
Mars Red: Zero Kikan Nippou,5.66,9727,9436,Comedy,5,"Nov 24, 2020","Mar 23, 2021","None found, add some",Signal.MD
Kusoge tte Iuna! Animation,5.37,10583,9542,"Game, Comedy",12,"Oct 19, 2020","Jan 5, 2021","None found, add some",Charaction
Holy Knight Light,7.04,3583,9764,"Action, Fantasy",1,"Dec 26, 2020",?,"None found, add some",Yostar Pictures
Tunshi Xingkong,7.82,824,9805,Sci-Fi,26,"Nov 29, 2020","May 16, 2021","Tencent Animation & Comics, Tencent Penguin Pictures",Sparkly Key Animation Studio
Gundam Build Divers: Battlogue,6.57,5698,9880,"Action, Sci-Fi, Mecha",1,"Nov 13, 2020",?,Sunrise,Sunrise Beyond
Attack Zero x Evangelion,5.27,10778,9914,"Music, Slice of Life",1,"Nov 2, 2020",?,"None found, add some","Wit Studio, Studio DURIAN"
Boukyaku Battery,N/A,14455,10192,"Sports, School, Shounen",1,"Oct 11, 2020",?,Shueisha,MAPPA
Qin Xia,6.37,6732,10210,"Action, Adventure, Fantasy",12,"Oct 16, 2020","Dec 25, 2020",Tencent Animation & Comics,"None found, add some"
2.43 Mini Anime: Volleyball Kouza,5.38,10534,10320,"Sports, School",10,"Nov 29, 2020","Jan 3, 2021","None found, add some","None found, add some"
2.43: Seiin Koukou Danshi Volley-bu Mini Anime,6.17,7755,1746,"Drama, School, Slice of Life, Sports",12,"Jan 8, 2021","Mar 26, 2021","Aniplex, Dentsu, Animax, Movic, Fuji TV, Fujipacific Music, Shueisha, Fuji Creative, Tohan Corporation, Japan Volleyball Association",David Production
Chu Feng: Yi Dian Zhi Zi,N/A,14633,10451,"Action, Sci-Fi, Romance, Fantasy, Mecha",12,"Nov 18, 2020","Jan 27, 2021",Yaoqi,Thundray
Huyao Xiao Hongniang: Mu Tiancheng,6.82,4460,10462,"Comedy, Historical, Supernatural, Drama, Romance",12,"Dec 11, 2020","Feb 19, 2021","None found, add some",Haoliners Animation League
Wan Jie Fa Shen,7.35,2155,10587,"Adventure, Romance, Martial Arts, Fantasy",54,"Dec 21, 2020","Jun 18, 2021","None found, add some",Ruo Hong Culture
Shaonu Qianxian: Renxing Xiao Juchang 2,6.79,4589,10650,"Military, Sci-Fi, Comedy",12,"Oct 7, 2020","Dec 16, 2020","None found, add some",BigFireBird Animation
Wo Jia Da Shixiong Shi Ge Fanpai,6.83,4421,10809,"Action, Adventure, Comedy, Historical, Martial Arts",13,"Oct 29, 2020","Jan 14, 2021",bilibili,"None found, add some"
Qin Shi Ming Yue: Canghai Hengliu,N/A,12521,11046,"Action, Historical, Martial Arts, Fantasy",Unknown,"Oct 8, 2020",?,"None found, add some",Sparkly Key Animation Studio
Xue Ying Ling Zhu 2nd Season,7.43,1840,11117,"Action, Adventure, Fantasy, Historical, Martial Arts, Romance",22,"Dec 31, 2020","Mar 4, 2021",Tencent Penguin Pictures,Mili Pictures
Jue Shi Wu Hun,6.83,4436,11571,"Action, Martial Arts, Fantasy",160,"Oct 25, 2020",?,"None found, add some",Soyep
Tian Huang Zhan Shen,6.77,4696,11598,"Action, Historical, Martial Arts, Fantasy",80,"Nov 18, 2020","Aug 11, 2021","None found, add some",Ruo Hong Culture
Xin Jue,6.24,7438,11639,"Action, Sci-Fi, Adventure, Magic",13,"Oct 13, 2020","Dec 29, 2020","bilibili, CG Year","None found, add some"
Mamono-tachi no Kunou,6.07,8268,11690,Comedy,12,"Oct 10, 2020","Dec 24, 2020","None found, add some","Doga Kobo, AQUA ARIS"
Xing Hai Qi Shi,6.82,4487,12246,"Action, Sci-Fi, Fantasy",14,"Dec 30, 2020","Jun 30, 2021",Tencent Penguin Pictures,"Non    e found, add some"
Fanren Xiu Xian Chuan: Fanren Feng Qi Tian Nan Er,7.65,1172,8638,"Action, Adventure, Historical, Fantasy",8,"Jul 25, 2020","Nov 29, 2020",bilibili,"Original Force, Wan Wei Mao Donghua"
Juunenbun no Watashi e,6.20,7594,12591,Drama,1,"Oct 25, 2020",?,Half H.P Studio,Flat Studio
Chang An Huan Jie,N/A,14522,12911,Fantasy,40,"Dec 31, 2020","May 6, 2021",Tencent Penguin Pictures,"None found, add some"
Oshiete Hokusai! The Animation,N/A,12263,15506,"Slice of Life, Comedy, Fantasy",10,"Mar 7, 2021","Mar 14, 2021",Sound Team Don Juan,CoMix Wave Films
