Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Kakegurui××,7.31,2351,85,"Game, Mystery, Psychological, Drama, School, Shounen",12,"Jul 1, 2017","Sep 23, 2017","Dentsu, Square Enix, Mainichi Broadcasting System, Movic, KlockWorx, DIVE II Entertainment, 81 Produce, Avex Pictures, FuRyu",MAPPA
Kakushigoto (TV),8.01,544,694,"Slice of Life, Comedy, Shounen",12,"Apr 2, 2020","Jun 18, 2020","Dentsu, Marvelous, Kodansha, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, A-Sketch, GREE",Ajia-Do
"Kanojo, Okarishimasu",7.34,2191,211,"Comedy, Romance, School, Shounen",12,"Jul 11, 2020","Sep 26, 2020","Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",TMS Entertainment
Karakai Jouzu no Takagi-san,7.73,984,362,"Slice of Life, Comedy, Romance, School, Shounen",12,"Jan 8, 2018","Mar 26, 2018","TMS Entertainment, Asatsu DK, Asmik Ace, TOHO animation, JR East Marketing & Communications",Shin-Ei Animation
Karakai Jouzu no Takagi-san 2,8.10,420,764,"Slice of Life, Comedy, Romance, School, Shounen",12,"Jul 7, 2019","Sep 22, 2019","Dentsu, TMS Entertainment, Asmik Ace, TOHO animation, Shogakukan, Sumitomo",Shin-Ei Animation
Kenja no Mago,6.57,5701,388,"Action, Comedy, Magic, Romance, Fantasy",12,"Apr 10, 2019","Jun 26, 2019","Sotsu, Docomo Anime Store, ABC Animation, Kadokawa",SILVER LINK.
Kill la Kill,8.07,467,46,"Action, Comedy, Super Power, Ecchi, School",24,"Oct 4, 2013","Mar 28, 2014","Aniplex, Dentsu, Kadokawa Shoten, Mainichi Broadcasting System, Movic, Ultra Super Pictures, Lucent Pictures Entertainment",Trigger
Kimetsu no Yaiba,8.58,79,14,"Action, Demons, Historical, Shounen, Supernatural",26,"Apr 6, 2019","Sep 28, 2019","Aniplex, Shueisha",ufotable
Kimi ni Todoke,8.00,553,161,"Slice of Life, Drama, Romance, School, Shoujo",25,"Oct 7, 2009","Mar 31, 2010","VAP, Nippon Television Network, Shueisha",Production I.G
Kimi ni Todoke 2nd Season,8.00,554,431,"Slice of Life, Drama, Romance, School, Shoujo",12,"Jan 12, 2011","Mar 30, 2011","VAP, Nippon Television Network, Shueisha",Production I.G
Kimi no Na wa.,8.90,20,9,"Romance, Supernatural, School, Drama",1,"Aug 26, 2016",?,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting",CoMix Wave Films
Kimi no Suizou wo Tabetai,8.58,80,222,"Slice of Life, Drama, Romance",1,"Sep 1, 2018",?,Aniplex,Studio VOLN
"Kimi to, Nami ni Noretara",7.60,1296,1348,"Drama, Romance, Supernatural",1,"Jun 21, 2019",?,Lawson Entertainment,Science SARU
Kiseijuu: Sei no Kakuritsu,8.37,176,40,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",24,"Oct 9, 2014","Mar 26, 2015","VAP, Kodansha, Nippon Television Network, Forecast Communications",Madhouse
Kishuku Gakkou no Juliet,7.46,1742,626,"Action, Comedy, Romance, School, Shounen",12,"Oct 6, 2018","Dec 22, 2018",NBCUniversal Entertainment Japan,LIDENFILMS
Kobayashi-san Chi no Maid Dragon,8.00,555,109,"Slice of Life, Comedy, Fantasy",13,"Jan 12, 2017","Apr 6, 2017","Lantis, Pony Canyon, ABC Animation",Kyoto Animation
Koe no Katachi,8.97,13,23,"Drama, School, Shounen",1,"Sep 17, 2016",?,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",Kyoto Animation
Koi to Uso,6.54,5846,506,"Drama, Romance, School",12,"Jul 4, 2017","Sep 19, 2017","Frontier Works, Pony Canyon, Kodansha, Ultra Super Pictures, Memory-Tech, Amuse, Hakuhodo DY Music & Pictures, Animatic, DeNA, A-Sketch",LIDENFILMS
Kokoro Connect,7.80,853,164,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",13,"Jul 8, 2012","Sep 30, 2012","Starchild Records, Enterbrain",SILVER LINK.
Konbini Kareshi,6.28,7207,1873,"Slice of Life, Romance",12,"Jul 7, 2017","Sep 29, 2017","VAP, Dentsu, TBS, chara-ani.com, Pierrot Plus, Being, Gzbrain, Cocoro Free, Tosho Printing",Studio Pierrot
Kono Bijutsubu ni wa Mondai ga Aru!,7.22,2758,709,"Comedy, Romance, School, Seinen",12,"Jul 8, 2016","Sep 23, 2016","TBS, DAX Production, ASCII Media Works, King Records",feel.
Kono Subarashii Sekai ni Shukufuku wo!,8.14,379,34,"Adventure, Comedy, Parody, Supernatural, Fantasy",10,"Jan 14, 2016","Mar 17, 2016","Half H.P Studio, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House",Studio Deen
Kono Subarashii Sekai ni Shukufuku wo! 2,8.29,237,77,"Adventure, Comedy, Parody, Supernatural, Fantasy",10,"Jan 12, 2017","Mar 16, 2017","Kadokawa Shoten, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House",Studio Deen
Kotonoha no Niwa,7.97,592,184,"Slice of Life, Psychological, Drama, Romance",1,"May 31, 2013",?,"The Answer Studio, TOHO animation",CoMix Wave Films
"Kumo Desu ga, Nani ka?",7.46,1745,633,"Action, Adventure, Comedy, Fantasy, Magic, Mystery",24,"Jan 8, 2021","Jul 3, 2021",Kadokawa,Millepensee
"Kumo no Mukou, Yakusoku no Basho",7.52,1559,914,"Drama, Military, Romance, Sci-Fi",1,"Nov 20, 2004",?,"None found, add some",CoMix Wave Films
Kuroko no Basket,8.10,421,106,"Comedy, Sports, School, Shounen",25,"Apr 8, 2012","Sep 22, 2012","Bandai Visual, Lantis, Nihon Ad Systems, Mainichi Broadcasting System, Banpresto, Shueisha, BS11",Production I.G
Kuroko no Basket 2nd Season,8.25,268,187,"Comedy, Sports, School, Shounen",25,"Oct 6, 2013","Mar 30, 2014","Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11",Production I.G
Kuroko no Basket 3rd Season,8.31,223,236,"Comedy, Sports, School, Shounen",25,"Jan 11, 2015","Jun 30, 2015","Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11",Production I.G
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,6.51,6036,1111,"Action, Game, Comedy, Fantasy",12,"Apr 7, 2021","Jun 23, 2021","Kadokawa, Bit grooove promotion",ENGI
Listeners,5.37,10588,2350,"Action, Mecha, Music, Sci-Fi",12,"Apr 4, 2020","Jun 20, 2020","Mainichi Broadcasting System, Slow Curve, DMM pictures, dugout, DMM Music",MAPPA
Liz to Aoi Tori,8.20,319,1615,"Drama, Music, School",1,"Apr 21, 2018",?,"Lantis, Shochiku, Pony Canyon, Rakuonsha, Bandai Namco Arts",Kyoto Animation
Log Horizon,7.97,593,105,"Action, Game, Adventure, Magic, Fantasy",25,"Oct 5, 2013","Mar 22, 2014",NHK,Satelight
Log Horizon 2nd Season,7.60,1298,286,"Action, Game, Adventure, Magic, Fantasy",25,"Oct 4, 2014","Mar 28, 2015",NHK,Studio Deen
Log Horizon: Entaku Houkai,7.04,3585,957,"Action, Game, Adventure, Magic, Fantasy",12,"Jan 13, 2021","Mar 31, 2021","None found, add some",Studio Deen
Lovely★Complex,8.04,502,325,"Comedy, Romance, Shoujo",24,"Apr 7, 2007","Sep 29, 2007","TBS, TAP, Sony Music Entertainment, Shueisha, Nichion",Toei Animation
Magic Kaito,7.79,873,2200,"Adventure, Comedy, Romance, Shounen",12,"Apr 17, 2010","Dec 29, 2012","None found, add some",TMS Entertainment
Mahouka Koukou no Rettousei,7.47,1722,122,"Action, Magic, Romance, School, Sci-Fi, Supernatural",26,"Apr 6, 2014","Sep 28, 2014","Aniplex, Square Enix, Movic, ASCII Media Works",Madhouse
Mahouka Koukou no Rettousei: Raihousha-hen,7.28,2476,678,"Action, Sci-Fi, Supernatural, Magic, Romance, School",13,"Oct 4, 2020","Dec 27, 2020","Aniplex, Square Enix, Movic, Studio Mausu, Straight Edge, Kadokawa",8bit
Majo no Takkyuubin,8.22,293,359,"Adventure, Comedy, Drama, Magic, Fantasy",1,"Jul 29, 1989",?,"None found, add some",Studio Ghibli
Masamune-kun no Revenge,6.78,4662,205,"Comedy, Harem, Romance, School, Shounen",12,"Jan 5, 2017","Mar 23, 2017","Sotsu, Lantis, AT-X, KlockWorx, BS Fuji, Tokyo MX, Ichijinsha, FuRyu, Crunchyroll SC Anime Fund",SILVER LINK.
Metal Fight Beyblade,6.76,4750,2003,"Adventure, Comedy, Sports, Kids",51,"Apr 5, 2009","Mar 28, 2010","None found, add some","Tatsunoko Production, SynergySP, Seven"
Metal Fight Beyblade: Baku,6.85,4373,2821,"Adventure, Comedy, Sports, Kids",51,"Apr 4, 2010","Mar 27, 2011","None found, add some","Tatsunoko Production, SynergySP"
Mirai Nikki (TV),7.49,1660,24,"Action, Mystery, Psychological, Supernatural, Thriller, Shounen",26,"Oct 9, 2011","Apr 15, 2012","Lantis, Kadokawa Shoten, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, chara-ani.com, 12 Diary Holders, Dwango, Sakura Create",asread.
Mirai Nikki: Redial,7.35,2178,530,"Action, Psychological, Supernatural, Shounen",1,"Jun 19, 2013",?,"None found, add some",asread.
Momokuri,7.09,3328,1825,"Comedy, Romance, Slice of Life",26,"Dec 24, 2015","Feb 4, 2016","Lantis, comico",Satelight
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,7.51,1571,314,"Action, Comedy, Fantasy, Supernatural",10,"Jan 12, 2013","Mar 16, 2013","Kadokawa Shoten, Nippon Columbia, flying DOG",Diomedéa
Munou na Nana,7.24,2675,785,"Psychological, Shounen, Super Power, Supernatural, Thriller",13,"Oct 4, 2020","Dec 27, 2020","Square Enix, AT-X, Nippon Columbia, BS Fuji, Hakuhodo DY Music & Pictures, Docomo Anime Store, Yomiuri TV Enterprise, Kanon Sound, NichiNare, Kadokawa, Show Corporation",Bridge
Mushishi,8.68,49,181,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",26,"Oct 23, 2005","Jun 19, 2006","Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Artland
Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,171,210,"Drama, Magic, Ecchi, Fantasy",11,"Jan 11, 2021","Mar 22, 2021","Frontier Works, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music",Studio Bind
Nakitai Watashi wa Neko wo Kaburu,7.35,2140,667,"Comedy, Supernatural, Drama, Romance, School",1,"Jun 18, 2020",?,"Fuji TV, Toho, BS Fuji, TOHO animation, Universal Music Japan, Fuji Creative, Kadokawa, KDDI, Twin Engine, FILMONY, Dentsu Meitetsu Communications",Studio Colorido
Nanatsu no Taizai,7.77,893,25,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",24,"Oct 5, 2014","Mar 29, 2015","Aniplex, Dentsu, Mainichi Broadcasting System, Kodansha, Movic",A-1 Pictures
Nanatsu no Taizai: Kamigami no Gekirin,6.44,6391,283,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",24,"Oct 9, 2019","Mar 25, 2020","TV Tokyo, VAP, Dentsu, Kodansha, Movic, Sammy","Studio Deen, Marvy Jack"
Nande Koko ni Sensei ga!?,6.49,6093,685,"Comedy, Ecchi, School, Seinen",12,"Apr 8, 2019","Jun 24, 2019","None found, add some",Tear Studio
Naruto,7.94,626,8,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",220,"Oct 3, 2002","Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Studio Pierrot
Naruto: Shippuuden,8.20,321,16,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",500,"Feb 15, 2007","Mar 23, 2017","TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",Studio Pierrot
Natsume Yuujinchou,8.32,210,349,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,"Jul 8, 2008","Sep 30, 2008","Aniplex, Nihon Ad Systems, TV Tokyo Music, Sony Music Entertainment",Brain's Base
Net-juu no Susume,7.59,1313,426,"Game, Comedy, Romance",10,"Oct 10, 2017","Dec 12, 2017","DAX Production, flying DOG, Sony Music Communications, Tokyo MX, comico, JR East Marketing & Communications, Crunchyroll SC Anime Fund",Signal.MD
Nijiiro Days,7.30,2393,905,"Comedy, Romance, School, Shoujo, Slice of Life",24,"Jan 10, 2016","Jun 26, 2016","YTV, Tokuma Japan, Daiichikosho, Shueisha",Production Reed
Nisekoi,7.61,1253,102,"Harem, Comedy, Romance, School, Shounen",20,"Jan 11, 2014","May 24, 2014","Aniplex, Mainichi Broadcasting System, Shueisha",Shaft
No Game No Life,8.14,380,13,"Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy",12,"Apr 9, 2014","Jun 25, 2014","Frontier Works, Media Factory, Movic, AT-X",Madhouse
No Game No Life: Zero,8.26,255,176,"Game, Supernatural, Drama, Romance, Fantasy",1,"Jul 15, 2017",?,"Frontier Works, Movic, AT-X, Kadokawa",Madhouse
Noragami,7.98,574,20,"Action, Adventure, Comedy, Supernatural, Shounen",12,"Jan 5, 2014","Mar 23, 2014","Avex Entertainment, Dentsu, Shochiku, Kodansha, Movic, Ai Addiction, Lawson HMV Entertainment, A-Sketch",Bones
Noragami Aragoto,8.19,324,75,"Action, Adventure, Comedy, Supernatural, Shounen",13,"Oct 3, 2015","Dec 26, 2015","Dentsu, Shochiku, Kodansha, Ai Addiction, Avex Pictures, A-Sketch",Bones
Odd Taxi,8.80,29,981,Mystery,13,"Apr 6, 2021","Jun 29, 2021","Pony Canyon, Pony Canyon Enterprise","OLM, P.I.C.S."
One Punch Man,8.53,95,5,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",12,"Oct 5, 2015","Dec 21, 2015","TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",Madhouse
One Punch Man 2nd Season,7.42,1885,71,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",12,"Apr 10, 2019","Jul 3, 2019","TV Tokyo, Good Smile Company, Shueisha, JR East Marketing & Communications, Bandai Namco Arts, Bandai Spirits",J.C.Staff
Orange,7.62,1243,208,"Sci-Fi, Drama, Romance, School, Shoujo",13,"Jul 4, 2016","Sep 26, 2016","TMS Entertainment, DAX Production, TOHO animation, Lawson, ABC Animation, MediaLink Entertainment Limited",Telecom Animation Film
Ore Monogatari!!,7.93,633,274,"Comedy, Romance, Shoujo",24,"Apr 9, 2015","Sep 24, 2015","VAP, Nippon Television Network, Shueisha",Madhouse
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,7.00,3757,345,"Comedy, Harem, Romance, School",13,"Jan 6, 2013","Mar 31, 2013","Aniplex, Magic Capsule, SoftBank Creative",A-1 Pictures
Ouran Koukou Host Club,8.18,341,107,"Comedy, Harem, Romance, School, Shoujo",26,"Apr 5, 2006","Sep 27, 2006","VAP, Hakusensha, Nippon Television Network",Bones
Overlord,7.93,634,72,"Action, Adventure, Fantasy, Game, Magic, Supernatural",13,"Jul 7, 2015","Sep 29, 2015","AT-X, Grooove, Hakuhodo DY Music & Pictures, Kadokawa",Madhouse
Overlord II,7.76,921,155,"Action, Game, Adventure, Supernatural, Magic, Fantasy",13,"Jan 9, 2018","Apr 3, 2018","AT-X, Enterbrain, Grooove, Hakuhodo DY Music & Pictures, NTT Plala, Kadokawa",Madhouse
Overlord III,7.92,662,207,"Action, Game, Supernatural, Magic, Fantasy",13,"Jul 10, 2018","Oct 2, 2018",Kadokawa,Madhouse
Plastic Memories,7.93,635,154,"Sci-Fi, Drama, Romance",13,"Apr 5, 2015","Jun 28, 2015","Aniplex, Movic, AT-X, ASCII Media Works, Bushiroad, MAGES., Asahi Broadcasting, BS11",Doga Kobo
Pokemon,7.35,2141,295,"Action, Adventure, Comedy, Kids, Fantasy",276,"Apr 1, 1997","Nov 14, 2002","TV Tokyo, TV Tokyo Music, Studio Jack",OLM
Pokemon Advanced Generation,7.09,3335,1092,"Action, Adventure, Comedy, Kids, Fantasy",192,"Nov 21, 2002","Sep 14, 2006","TV Tokyo, Shogakukan-Shueisha Productions, TV Tokyo Music, Studio Jack",OLM
Pokemon Generations,7.46,1752,2634,"Action, Adventure, Fantasy, Game, Kids",18,"Dec 9, 2016","Feb 2, 2017","None found, add some",OLM
Pokemon Movie 01: Mewtwo no Gyakushuu,7.63,1213,784,"Action, Adventure, Comedy, Kids, Drama, Fantasy",1,"Jul 18, 1998",?,"TV Tokyo, Shogakukan-Shueisha Productions, Imagica, Studio Jack",OLM
Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,7.34,2203,1057,"Adventure, Comedy, Kids, Drama, Fantasy",1,"Jul 17, 1999",?,Studio Jack,OLM
Pokemon XY,7.30,2397,1307,"Action, Adventure, Comedy, Fantasy, Kids",93,"Oct 17, 2013","Oct 22, 2015",TV Tokyo,OLM
Psycho-Pass,8.36,180,52,"Action, Sci-Fi, Police, Psychological, Thriller",22,"Oct 12, 2012","Mar 22, 2013","Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, Kyoraku Industrial Holdings",Production I.G
Rakudai Kishi no Cavalry,7.49,1638,158,"Action, Romance, Ecchi, Fantasy, School",12,"Oct 3, 2015","Dec 19, 2015","Frontier Works, Media Factory, AT-X, flying DOG, Hakuhodo DY Music & Pictures, Animatic, SB Creative","SILVER LINK., Nexus"
Re:Zero kara Hajimeru Isekai Seikatsu,8.27,248,22,"Psychological, Drama, Thriller, Fantasy",25,"Apr 4, 2016","Sep 19, 2016","TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures",White Fox
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.42,145,138,"Psychological, Drama, Thriller, Fantasy",13,"Jul 8, 2020","Sep 30, 2020","AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",White Fox
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.55,88,252,"Drama, Fantasy, Psychological, Thriller",12,"Jan 6, 2021","Mar 24, 2021",Kadokawa,White Fox
ReLIFE,8.01,534,131,"Slice of Life, Drama, Romance, School",13,"Jul 2, 2016","Sep 24, 2016","Aniplex, Half H.P Studio, comico, Hakuhodo DY Media Partners, Lawson, C & I entertainment, TMS Music",TMS Entertainment
ReLIFE: Kanketsu-hen,8.21,302,587,"Romance, School, Slice of Life",4,"Mar 21, 2018",?,"comico, TMS Music",TMS Entertainment
Renai Boukun,6.66,5247,552,"Harem, Comedy, Supernatural, Romance, Ecchi, School",12,"Apr 7, 2017","Jun 23, 2017","TV Tokyo, Sotsu, Half H.P Studio, DIVE II Entertainment, Avex Pictures",EMT Squared
Rokudenashi Majutsu Koushi to Akashic Records,7.17,2968,262,"Action, Magic, Fantasy, School",12,"Apr 4, 2017","Jun 20, 2017","Media Factory, AT-X, Kadokawa Pictures Japan, Ultra Super Pictures, Tohokushinsha Film Corporation, Sony Music Communications, Fujimi Shobo, Kanetsu Investment",LIDENFILMS
Saenai Heroine no Sodatekata,7.51,1578,293,"Harem, Comedy, Romance, Ecchi, School",12,"Jan 16, 2015","Mar 27, 2015","Aniplex, Dentsu, Fuji TV, Half H.P Studio, Cospa, Fujipacific Music, Good Smile Company, Kyoraku Industrial Holdings, Kansai Telecasting, Fujimi Shobo",A-1 Pictures
Saenai Heroine no Sodatekata ♭,7.79,857,598,"Harem, Comedy, Romance, Ecchi, School",11,"Apr 14, 2017","Jun 23, 2017","Aniplex, Dentsu, Fuji TV, Cospa, Good Smile Company, Kansai Telecasting, Fujimi Shobo",A-1 Pictures
Sakamoto Desu ga?,7.58,1364,221,"Slice of Life, Comedy, School, Seinen",12,"Apr 8, 2016","Jul 1, 2016","Kadokawa Shoten, TBS, DAX Production, Daiichikosho, King Records, NichiNare",Studio Deen
Sakasama no Patema,8.01,535,711,"Adventure, Sci-Fi",1,"Nov 9, 2013",?,"Directions, Asmik Ace, Good Smile Company","Studio Rikka, Purple Cow Studio Japan"
Sakura-sou no Pet na Kanojo,8.14,383,90,"Slice of Life, Comedy, Drama, Romance, School",24,"Oct 9, 2012","Mar 26, 2013","Frontier Works, Genco, Media Factory, Animax, Mainichi Broadcasting System, ASCII Media Works, Sony Music Communications",J.C.Staff
Sakurada Reset,7.36,2127,1312,"Mystery, Super Power, Supernatural, School",24,"Apr 5, 2017","Sep 13, 2017","Media Factory, flying DOG, Asmik Ace, Showgate, Teichiku Entertainment, Hakuhodo DY Music & Pictures, Kansai Telecasting, BS11, Sony PCL, Radio Osaka, A-Sketch, Parco, e-notion",David Production
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,7.43,1831,924,"Drama, Mystery, Thriller",12,"Oct 8, 2015","Dec 24, 2015","Lantis, DAX Production",TROYCA
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.43,136,548,"Drama, Fantasy",1,"Feb 24, 2018",?,"Bandai Visual, Lantis, Rakuonsha, Showgate, Hakuhodo DY Music & Pictures, Cygames, Shout! Factory",P.A. Works
School Rumble,7.91,674,564,"Comedy, Romance, School, Shounen",26,"Oct 5, 2004","Mar 29, 2005","TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet
Seiren,6.29,7132,939,"Romance, School",12,"Jan 6, 2017","Mar 24, 2017","Pony Canyon, TBS, DAX Production, Pony Canyon Enterprise, Stardust Promotion, GYAO!","Studio Gokumi, AXsiZ"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.32,212,68,"Comedy, Supernatural, Drama, Romance, School",13,"Oct 4, 2018","Dec 27, 2018","Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",CloverWorks
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.65,56,327,"Drama, Romance, School, Supernatural",1,"Jun 15, 2019",?,"Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",CloverWorks
Sen to Chihiro no Kamikakushi,8.80,30,42,"Adventure, Supernatural, Drama",1,"Jul 20, 2001",?,Toho,Studio Ghibli
Shelter,8.32,213,574,"Sci-Fi, Music",1,"Oct 18, 2016",?,Half H.P Studio,A-1 Pictures
Shigatsu wa Kimi no Uso,8.69,48,21,"Music, Drama, Romance, School, Shounen",22,"Oct 10, 2014","Mar 20, 2015","Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",A-1 Pictures
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,7.52,1566,361,"Action, Adventure, Comedy, Fantasy",12,"Oct 2, 2019","Dec 27, 2019","AT-X, Kadokawa Media House, Kadokawa, Legs",White Fox
Shingeki no Kyojin,8.51,108,2,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",25,"Apr 7, 2013","Sep 29, 2013","Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise","Production I.G, Wit Studio"
Shingeki no Kyojin Season 2,8.49,117,12,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",12,"Apr 1, 2017","Jun 17, 2017","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Wit Studio
Shingeki no Kyojin Season 3,8.51,108,2,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",25,"Apr 7, 2013","Sep 29, 2013","Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise","Production I.G, Wit Studio"
Shingeki no Kyojin Season 3 Part 2,9.10,3,36,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",10,"Apr 29, 2019","Jul 1, 2019","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Wit Studio
Shingeki no Kyojin: The Final Season,8.94,17,60,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",16,"Dec 7, 2020","Mar 29, 2021","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",MAPPA
Shokugeki no Souma,8.22,298,53,"Ecchi, School, Shounen",24,"Apr 4, 2015","Sep 26, 2015","Dentsu, Frontier Works, Mainichi Broadcasting System, Magic Capsule, Warner Bros. Japan, KlockWorx, Showgate, Shueisha, I Will",J.C.Staff
Shokugeki no Souma: Gou no Sara,7.33,2232,442,"Ecchi, School, Shounen",13,"Apr 11, 2020","Sep 26, 2020","None found, add some",J.C.Staff
Shokugeki no Souma: Ni no Sara,8.15,364,110,"Ecchi, School, Shounen",13,"Jul 2, 2016","Sep 24, 2016","Dentsu, Lantis, Mainichi Broadcasting System, KlockWorx, Showgate, Shueisha",J.C.Staff
Shokugeki no Souma: San no Sara,8.07,460,148,"Ecchi, School, Shounen",12,"Oct 4, 2017","Dec 20, 2017","Lantis, Warner Bros. Japan, KlockWorx, Shueisha",J.C.Staff
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,8.02,529,255,"Ecchi, School, Shounen",12,"Apr 9, 2018","Jun 25, 2018",Shueisha,J.C.Staff
Shokugeki no Souma: Shin no Sara,7.75,933,350,"Ecchi, School, Shounen",12,"Oct 12, 2019","Dec 28, 2019","Warner Bros. Japan, KlockWorx, Shueisha, Bandai Namco Arts",J.C.Staff
Skip Beat!,8.11,409,731,"Comedy, Drama, Romance, Shoujo",25,"Oct 6, 2008","Mar 30, 2009","Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Hal Film Maker
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",7.04,3597,759,"Slice of Life, Comedy, Fantasy",12,"Apr 10, 2021","Jun 26, 2021","Square Enix, Movic, AT-X, Nippon Columbia, KlockWorx, Studio Mausu, Bushiroad, Hakuhodo DY Music & Pictures, Medicos Entertainment, BS11, DMM.com, SB Creative",Revoroot
Sora no Aosa wo Shiru Hito yo,7.52,1568,1934,"Music, Supernatural, Drama, Romance",1,"Oct 11, 2019",?,"Aniplex, Fuji TV, Toho, Kadokawa, STORY, FILMONY",CloverWorks
Soul Eater,7.85,757,51,"Action, Fantasy, Comedy, Supernatural, Shounen",51,"Apr 7, 2008","Mar 30, 2009","TV Tokyo, Aniplex, Dentsu, Media Factory",Bones
Special A,7.53,1502,505,"Comedy, Romance, School, Shoujo",24,"Apr 7, 2008","Sep 15, 2008",Showgate,"Gonzo, AIC"
Steins;Gate,9.10,4,11,"Sci-Fi, Psychological, Drama, Thriller",24,"Apr 6, 2011","Sep 14, 2011","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",White Fox
Steins;Gate 0,8.51,109,186,"Sci-Fi, Psychological, Drama, Thriller",23,"Apr 12, 2018","Sep 27, 2018","Frontier Works, Media Factory, Kadokawa Shoten, Movic",White Fox
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.47,123,317,"Sci-Fi, Drama",1,"Apr 20, 2013",?,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.",White Fox
Suzumiya Haruhi no Yuuutsu,7.85,758,139,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",14,"Apr 3, 2006","Jul 3, 2006","Lantis, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx",Kyoto Animation
